from,to,weight,geometry
7645356108,6402007971,25.52607968814413,"LINESTRING (112.7933066 -7.2866234, 112.7932808 -7.2866836, 112.7932325 -7.2868406)"
7645356108,6402007973,46.9301523657441,"LINESTRING (112.7933066 -7.2866234, 112.7932687 -7.2866191, 112.7932432 -7.2865918, 112.7932405 -7.2864362, 112.7932566 -7.2864159, 112.7932808 -7.2864003, 112.7934163 -7.2863742)"
7645356108,6402007973,32.0052986339947,"LINESTRING (112.7933066 -7.2866234, 112.7933398 -7.2866144, 112.7933559 -7.2865932, 112.7933639 -7.2865719, 112.7934163 -7.2863742)"
4538966174,4538966176,3.8450908573023708,"LINESTRING (112.793687 -7.2864072, 112.7936625 -7.2864318)"
4538966174,12777683026,44.128418387798696,"LINESTRING (112.793687 -7.2864072, 112.7940174 -7.286630999999999)"
4538966176,6402008243,139.2499780314936,"LINESTRING (112.7936625 -7.2864318, 112.7932258 -7.2876068)"
4538966176,2108446095,11.549787284367493,"LINESTRING (112.7936625 -7.2864318, 112.7936297 -7.2864437, 112.793595 -7.2864405, 112.7935649 -7.2864229)"
4538966186,2536041066,50.58858320102964,"LINESTRING (112.7957538 -7.2876587, 112.7958233 -7.2881084)"
4538966186,1362399473,64.65503717576411,"LINESTRING (112.7957538 -7.2876587, 112.7956782 -7.2870821)"
4538966186,7627936392,89.46206118503277,"LINESTRING (112.7957538 -7.2876587, 112.7958288 -7.2876491, 112.7963856 -7.2875682, 112.7965553 -7.2875362)"
4538966188,1362399443,139.51065248714121,"LINESTRING (112.7955329 -7.2877366, 112.794756 -7.2878702, 112.7946708 -7.287881, 112.7946289 -7.2878815, 112.7945949 -7.2878767, 112.7945537 -7.2878649, 112.7945173 -7.2878503, 112.7943201 -7.2877289)"
9911091375,1722835489,38.401784247130884,"LINESTRING (112.8015916 -7.2874093, 112.8014802 -7.2877365)"
7680204977,7680204978,10.108858578448459,"LINESTRING (112.797838 -7.2810509, 112.7977465 -7.2810457)"
7680204977,2536041092,166.6377806612867,"LINESTRING (112.797838 -7.2810509, 112.7977993 -7.2817468, 112.7978314 -7.2818085, 112.7979029 -7.2818373, 112.7985639 -7.281836)"
7680204978,6880365641,23.318550780641495,"LINESTRING (112.7977465 -7.2810457, 112.7977484 -7.280836)"
7680204978,7680204977,10.108858578448459,"LINESTRING (112.7977465 -7.2810457, 112.797838 -7.2810509)"
2320318698,270391762,59.31518002366498,"LINESTRING (112.790377 -7.2796035, 112.7903525 -7.2795951, 112.7902821 -7.2795586, 112.7902129 -7.2794976, 112.7901587 -7.2794698, 112.7900933 -7.2794536, 112.7900159 -7.2794455, 112.7898828 -7.2794567)"
2320318698,2320318700,20.788360356799096,"LINESTRING (112.790377 -7.2796035, 112.7903525 -7.2796544, 112.7903424 -7.279677, 112.7903339 -7.2796914, 112.7902953 -7.2797719)"
2320318698,12777683108,34.06360391716552,"LINESTRING (112.790377 -7.2796035, 112.7904648 -7.279309800000001)"
2320318700,270391765,38.53349800876257,"LINESTRING (112.7902953 -7.2797719, 112.7905976 -7.2795982)"
2320318700,2320318698,20.788360356799096,"LINESTRING (112.7902953 -7.2797719, 112.7903339 -7.2796914, 112.7903424 -7.279677, 112.7903525 -7.2796544, 112.790377 -7.2796035)"
2320318700,839668753,54.74551349366031,"LINESTRING (112.7902953 -7.2797719, 112.7902821 -7.2797801, 112.7902214 -7.2798196, 112.7898756 -7.2800347)"
7883112772,1682379547,367.6056603699676,"LINESTRING (112.7865149 -7.2776377, 112.7867436 -7.2776064, 112.7898173 -7.2771922)"
9157771620,1682379512,365.54442326283953,"LINESTRING (112.7864955 -7.2771854, 112.7895388 -7.2767743, 112.789779 -7.2767397)"
9909100909,5555975108,32.04024862360045,"LINESTRING (112.8016007 -7.2852015, 112.8016492 -7.2849174)"
9909100909,9909100910,42.725674523045,"LINESTRING (112.8016007 -7.2852015, 112.8012181 -7.2851414)"
9909100909,4441741393,35.309036677446315,"LINESTRING (112.8016007 -7.2852015, 112.8015854 -7.2852908, 112.8015682 -7.2853587, 112.8015133 -7.2855059)"
9909100910,9909100909,42.725674523045,"LINESTRING (112.8012181 -7.2851414, 112.8016007 -7.2852015)"
4472152447,5560915093,62.651161134318755,"LINESTRING (112.8003458 -7.2769644, 112.8007347 -7.276991, 112.8009128 -7.2769965)"
6856819076,6856819077,12.500605865262216,"LINESTRING (112.7924154 -7.2896747, 112.7923081 -7.2896385)"
6856819076,6865625565,75.14330164219261,"LINESTRING (112.7924154 -7.2896747, 112.7923216 -7.2899095, 112.7922551 -7.2900682, 112.7921876 -7.2902535, 112.792169 -7.2903046)"
6856819077,6856819076,12.500605865262216,"LINESTRING (112.7923081 -7.2896385, 112.7924154 -7.2896747)"
6856819077,10669469004,66.22634462053657,"LINESTRING (112.7923081 -7.2896385, 112.7924896 -7.2891748, 112.7925013 -7.289145, 112.7925241 -7.2890828)"
1722835405,6877565872,4.145677209287696,"LINESTRING (112.8014467 -7.2762169, 112.8014327 -7.2761823)"
1722835405,6877565875,8.275360287448574,"LINESTRING (112.8014467 -7.2762169, 112.8013729 -7.2762303)"
1722835405,5560915098,36.64878941603304,"LINESTRING (112.8014467 -7.2762169, 112.8015399 -7.2764317, 112.8015747 -7.276521)"
1722835409,5560915098,50.615930227307246,"LINESTRING (112.8017517 -7.2769409, 112.8016265 -7.2766535, 112.8015747 -7.276521)"
1722835414,1722835418,134.60327800382143,"LINESTRING (112.8025022 -7.2798242, 112.8019476 -7.279827, 112.8019322 -7.2798296, 112.8012915 -7.279939)"
1722835418,1722835414,134.60327800382143,"LINESTRING (112.8012915 -7.279939, 112.8019322 -7.2798296, 112.8019476 -7.279827, 112.8025022 -7.2798242)"
1722835418,1722847208,187.95695222418937,"LINESTRING (112.8012915 -7.279939, 112.8012781 -7.2798338, 112.801251 -7.2797155, 112.8011923 -7.2794733, 112.8011774 -7.2793841, 112.801215 -7.2791181, 112.8011421 -7.2782663)"
1722835418,7030523530,48.20445356671338,"LINESTRING (112.8012915 -7.279939, 112.8009782 -7.2799449, 112.800882 -7.279942, 112.8008763 -7.2799421, 112.8008546 -7.2799409)"
6849331681,1362399304,11.98204031169454,"LINESTRING (112.7935451 -7.2863355, 112.7935532 -7.2863214, 112.7935749 -7.2862998, 112.7936033 -7.2862879, 112.793634 -7.2862876)"
6849331681,6402008024,128.90897968331691,"LINESTRING (112.7935451 -7.2863355, 112.7934844 -7.2860751, 112.7934605 -7.2858815, 112.7934203 -7.2855888, 112.7933801 -7.2851892)"
1722835441,831069666,24.67887649505541,"LINESTRING (112.8021126 -7.2840144, 112.8019128 -7.2841143)"
1722835441,831069661,66.90777660400455,"LINESTRING (112.8021126 -7.2840144, 112.8022219 -7.2839738, 112.8025679 -7.2838295, 112.8025981 -7.2838129, 112.8026634 -7.283767)"
1722835441,5560915135,226.21085263366902,"LINESTRING (112.8021126 -7.2840144, 112.8019953 -7.2839193, 112.801666 -7.283755, 112.8016345 -7.2837344, 112.8015299 -7.2836612, 112.8011409 -7.2833827, 112.8011306 -7.2833682, 112.8011319 -7.2833493, 112.801428 -7.2829336, 112.8014562 -7.282879, 112.8014709 -7.2828231, 112.8014854 -7.2826102)"
1722835470,831069667,28.397182552012207,"LINESTRING (112.801161 -7.2866816, 112.8010679 -7.2869197)"
1722835470,6618556525,50.516219329682365,"LINESTRING (112.801161 -7.2866816, 112.8012914 -7.2862461)"
1722835470,6621542614,68.4023860288898,"LINESTRING (112.801161 -7.2866816, 112.8011048 -7.286665, 112.8005631 -7.2865183)"
9190187540,6402008250,70.07283087265021,"LINESTRING (112.7977327 -7.2825349, 112.7976731 -7.2819075)"
9190187540,5558759534,39.096769195983114,"LINESTRING (112.7977327 -7.2825349, 112.797799 -7.2828803)"
9190187540,6876981199,27.682500554095363,"LINESTRING (112.7977327 -7.2825349, 112.7974819 -7.2825255)"
1722835483,1722835486,81.2554767366618,"LINESTRING (112.8000614 -7.2874874, 112.8007923 -7.2875789)"
1722835486,6618556550,12.897661646975543,"LINESTRING (112.8007923 -7.2875789, 112.8007474 -7.287686)"
1722835486,9880655699,14.941208941350505,"LINESTRING (112.8007923 -7.2875789, 112.8008407 -7.2874534)"
1722835486,1722835483,81.2554767366618,"LINESTRING (112.8007923 -7.2875789, 112.8000614 -7.2874874)"
1722835487,2535857131,45.18569866823176,"LINESTRING (112.7979231 -7.2876156, 112.7980028 -7.287217)"
1722835487,1722835502,65.38047753220295,"LINESTRING (112.7979231 -7.2876156, 112.7977969 -7.2881901)"
1722835487,6621542602,165.71197247570674,"LINESTRING (112.7979231 -7.2876156, 112.7985664 -7.2877578, 112.7987552 -7.2878283, 112.7987687 -7.2878375, 112.7987765 -7.2878476, 112.7987817 -7.2878592, 112.7987858 -7.2878737, 112.7987874 -7.287888, 112.798787 -7.2879121, 112.7987693 -7.2879793, 112.7987086 -7.2881549, 112.7986016 -7.2884206)"
1722835489,6618556551,44.92785904090278,"LINESTRING (112.8014802 -7.2877365, 112.8013538 -7.2881206)"
1722835489,5556132772,48.1664682646737,"LINESTRING (112.8014802 -7.2877365, 112.8010592 -7.2876214)"
1722835489,9911091375,38.401784247130884,"LINESTRING (112.8014802 -7.2877365, 112.8015916 -7.2874093)"
1722835489,5556132773,44.01399528495888,"LINESTRING (112.8014802 -7.2877365, 112.8016741 -7.2877847, 112.8018719 -7.2878077)"
1722835498,1722835509,43.02241956207181,"LINESTRING (112.8006622 -7.2879374, 112.8005449 -7.2883064)"
1722835498,3122244633,5.326784376543546,"LINESTRING (112.8006622 -7.2879374, 112.800677 -7.2878918)"
1722835498,6618556537,110.50710808780198,"LINESTRING (112.8006622 -7.2879374, 112.8001587 -7.2877655, 112.8000408 -7.2877266, 112.7999605 -7.2876996, 112.7997119 -7.2876228)"
1722835502,1722835487,65.38047753220295,"LINESTRING (112.7977969 -7.2881901, 112.7979231 -7.2876156)"
1722835502,6621542602,92.52225659218993,"LINESTRING (112.7977969 -7.2881901, 112.7981061 -7.2882763, 112.798381 -7.2883721, 112.7984606 -7.2883957, 112.7986016 -7.2884206)"
1722835502,1722835516,38.083436629261016,"LINESTRING (112.7977969 -7.2881901, 112.7977205 -7.2885141, 112.7977183 -7.2885236)"
1722835509,1722835498,43.02241956207181,"LINESTRING (112.8005449 -7.2883064, 112.8006622 -7.2879374)"
1722835509,1722835515,77.68148914748475,"LINESTRING (112.8005449 -7.2883064, 112.8012164 -7.2885171)"
1722835509,1722835519,31.223399524153493,"LINESTRING (112.8005449 -7.2883064, 112.8005026 -7.2884602, 112.8004704 -7.2885773)"
1722835509,6618556539,29.98734390373351,"LINESTRING (112.8005449 -7.2883064, 112.8005029 -7.2882991, 112.800276 -7.2882667)"
1722835515,1722835509,77.68148914748475,"LINESTRING (112.8012164 -7.2885171, 112.8005449 -7.2883064)"
1722835515,1722835527,52.94330230231573,"LINESTRING (112.8012164 -7.2885171, 112.8016704 -7.2886717)"
1722835515,6618556551,46.640358031327295,"LINESTRING (112.8012164 -7.2885171, 112.8013014 -7.2882903, 112.8013538 -7.2881206)"
1722835515,4533090365,45.92033967728755,"LINESTRING (112.8012164 -7.2885171, 112.8011847 -7.2886303, 112.8011114 -7.2889167)"
1722835516,1722835529,93.68548655657806,"LINESTRING (112.7977183 -7.2885236, 112.7977796 -7.2885351, 112.7978241 -7.2885427, 112.7979673 -7.2885822, 112.7981218 -7.2886281, 112.798315 -7.2887026, 112.7985151 -7.2888039)"
1722835516,1722835502,38.083436629261016,"LINESTRING (112.7977183 -7.2885236, 112.7977205 -7.2885141, 112.7977969 -7.2881901)"
1722835516,2535857129,158.43513836241354,"LINESTRING (112.7977183 -7.2885236, 112.7977059 -7.2885844, 112.7975693 -7.2892055, 112.7975391 -7.2893475, 112.7975314 -7.289418, 112.7975296 -7.289473, 112.7975535 -7.2898728, 112.7975586 -7.2899281)"
1722835519,1722835528,14.327854524822108,"LINESTRING (112.8004704 -7.2885773, 112.8004295 -7.2886996)"
1722835519,1722835509,31.223399524153493,"LINESTRING (112.8004704 -7.2885773, 112.8005026 -7.2884602, 112.8005449 -7.2883064)"
1722835519,4533090364,107.13439439736649,"LINESTRING (112.8004704 -7.2885773, 112.8004047 -7.288558, 112.8000084 -7.2884826, 112.7999943 -7.2884843, 112.7999815 -7.288487, 112.7999684 -7.2884925, 112.7999524 -7.2885041, 112.7999412 -7.2885181, 112.7999283 -7.288542, 112.7998519 -7.2887269, 112.7997847 -7.2889044)"
4538966598,3122484907,53.594867854970474,"LINESTRING (112.7973168 -7.2885787, 112.7968362 -7.2886498)"
4538966598,6618556638,28.271387986683173,"LINESTRING (112.7973168 -7.2885787, 112.7975696 -7.2885367)"
4538966598,6402008202,164.41269345503528,"LINESTRING (112.7973168 -7.2885787, 112.7972471 -7.2890369, 112.7972139 -7.2892371, 112.7971866 -7.289349, 112.7971718 -7.2893857, 112.7971609 -7.2894014, 112.7971482 -7.289412, 112.7971197 -7.2894283, 112.7970508 -7.2894486, 112.7970261 -7.2894494, 112.7970059 -7.2894431, 112.7969889 -7.2894293, 112.7969654 -7.2893847, 112.7969464 -7.2893006, 112.7968907 -7.2889911)"
1722835527,1722835515,52.94330230231573,"LINESTRING (112.8016704 -7.2886717, 112.8012164 -7.2885171)"
1722835529,1722835516,93.68548655657808,"LINESTRING (112.7985151 -7.2888039, 112.798315 -7.2887026, 112.7981218 -7.2886281, 112.7979673 -7.2885822, 112.7978241 -7.2885427, 112.7977796 -7.2885351, 112.7977183 -7.2885236)"
1722835529,4533090381,137.11629324935538,"LINESTRING (112.7985151 -7.2888039, 112.7988336 -7.288998, 112.7989862 -7.2891074, 112.7990898 -7.2891709, 112.7991512 -7.2892071, 112.7992527 -7.2892594, 112.7994271 -7.28935, 112.7995868 -7.2894248)"
1722835529,6618556623,51.736394311505975,"LINESTRING (112.7985151 -7.2888039, 112.7984818 -7.2888942, 112.7984705 -7.2889306, 112.7984677 -7.2889527, 112.7984678 -7.2889659, 112.7984694 -7.288976, 112.7984724 -7.2889871, 112.7984762 -7.2890078, 112.7984787 -7.2890287, 112.798481 -7.2890674, 112.7984807 -7.2890976, 112.7984571 -7.2892587)"
1722835528,1722835519,14.327854524822108,"LINESTRING (112.8004295 -7.2886996, 112.8004704 -7.2885773)"
1722835528,1722835535,46.24319041708447,"LINESTRING (112.8004295 -7.2886996, 112.8003974 -7.2888134, 112.8003588 -7.2889481, 112.8003134 -7.2890992)"
1722835528,4533090365,79.08394853632153,"LINESTRING (112.8004295 -7.2886996, 112.8004789 -7.2887072, 112.8010909 -7.2889128, 112.8011114 -7.2889167)"
1722835535,4533090378,21.07874635473582,"LINESTRING (112.8003134 -7.2890992, 112.8002385 -7.2892736)"
