WKT,name
POINT (112.7914985 -7.276394800000001),Parkir Graha ITS
POINT (112.7910163 -7.276771499999999),DIVINUSA 15
POINT (112.7916279 -7.276944600000001),Grha Sepuluh Nopember
POINT (112.792413 -7.276293000000001),Naufalindo Machinery
POINT (112.7929489 -7.276033999999999),Pos Satpam PENS
POINT (112.7931456 -7.275827999999999),Halte PENS
POINT (112.7937557 -7.2758471),Politeknik Elektronika Negeri Surabaya
POINT (112.7929319 -7.276358),Masjid An-Nahl PENS
POINT (112.7940697 -7.275881699999999),Tempat Parkir Mahasiswa PENS
POINT (112.794513 -7.275802000000001),Pusat Unggulan Teknologi PENS
POINT (112.7946413 -7.275897599999998),PENS Skyventure Incubator
POINT (112.7940697 -7.275881699999999),Tempat Parkir Mahasiswa PENS
POINT (112.7949776 -7.275647500000001),Science Technopark
POINT (112.7956334 -7.275926599999999),JAVA DRONE
POINT (112.7958327 -7.276065600000001),Science Technopark ITS
POINT (112.7965112 -7.275252099999999),Proyek Pembangunan Fakultas Kedokteran ITS
POINT (112.7930624 -7.276602),Pasca Sarjana PENS
POINT (112.7921199 -7.2771816),CW1 ITS
POINT (112.7911759 -7.277787),Parkir Mobil Dan Motor Graha Sepuluh Nopember
POINT (112.7902333 -7.2781974),Gerbang Vokasi
POINT (112.7928183 -7.2769333),Global Languages Center (GLC) ITS
POINT (112.792671 -7.277829000000001),Departemen Manajemen Bisnis ITS
POINT (112.7920983 -7.278356),Departemen Teknik Instrumentasi FV - ITS
POINT (112.7935761 -7.2771124),Game Technology PENS
POINT (112.7949635 -7.276451000000001),Gedung D4 Politeknik Elektronika Negeri Surabaya
POINT (112.7943456 -7.277075899999999),Kantin PENS
POINT (112.7941103 -7.2772559),Inkubator Bisnis PPNS
POINT (112.7966956 -7.2768904),Gedung Forensik ITS
POINT (112.7967713 -7.276755699999999),Laboratorium Rekayasa Forensik
POINT (112.7958875 -7.2773791),Politeknik Perkapalan Negeri Surabaya
POINT (112.7974149 -7.277483500000002),ITS Robotics Center
POINT (112.7961825 -7.277747000000001),Graha Dewa Ruci
POINT (112.7983144 -7.277390999999999),ITS Robotics Community
POINT (112.7978918 -7.278154499999998),Taman Busur
POINT (112.7969948 -7.2783788),DKV ITS Surabaya
POINT (112.7945763 -7.2781003),Masjid Bahrul Ulum Politeknik Perkapalan Negeri Surabaya (PPNS)
POINT (112.7935819 -7.278137399999999),D4 Teknik Pengelasan PPNS
POINT (112.7916077 -7.278699899999998),Vokasi ITS
POINT (112.7907642 -7.279089),Areal Bundaran Institut Teknologi Sepuluh Nopember
POINT (112.7923983 -7.2787794),Departemen Teknik Kimia Industri ITS
POINT (112.7932275 -7.2790129),Parkir Motor PPNS (Gedung M)
POINT (112.7942714 -7.278818199999998),Bengkel Non Metal Ppns
POINT (112.7946517 -7.278928099999999),Library PPNS
POINT (112.7949529 -7.278950900000001),LABORATORIUM LIMBAH PPNS
POINT (112.7950443 -7.278692300000001),Bengkel CNC PPNS
POINT (112.7957762 -7.279143599999999),Interior Design ITS
POINT (112.79635 -7.278843800000002),Departemen Desain Produk Industri FADP ITS
POINT (112.7973583 -7.2793133),Laboratorium Pemrograman Departemen Informatika ITS Surabaya
POINT (112.7981829 -7.279191000000001),STP Maritim - ITS
POINT (112.7984006 -7.279092700000001),Alfatekelits
POINT (112.7922213 -7.2799532),Environmental Engineering Department - FTSPK ITS
POINT (112.7940956 -7.2796308),Departemen Perencanaan Wilayah dan Kota FTSPK ITS
POINT (112.7929264 -7.280325500000003),Laboratorium Struktur
POINT (112.7920503 -7.280665399999999),Lapangan Taman Alumni ITS
POINT (112.7930689 -7.280863099999999),Departemen Teknik Sipil FTSLK ITS
POINT (112.7949293 -7.2799426),Departemen Teknik Geomatika
POINT (112.7938703 -7.281044399999998),Department of Architecture ITS
POINT (112.7944207 -7.280939099999999),Parkir Rektorat
POINT (112.7937 -7.2814482),Parking lot
POINT (112.7943882 -7.2815577),Rektorat ITS
POINT (112.7949293 -7.2799426),Departemen Teknik Geomatika
POINT (112.7954185 -7.279993699999999),Teknik Geofisika ITS
POINT (112.7952408 -7.2806015),Prodi Teknologi Kedokteran ITS
POINT (112.7954859 -7.280748200000001),Pascasarjana ITS
POINT (112.7975646 -7.2797492),Departemen Teknik Informatika ITS
POINT (112.7988645 -7.2800812),Co-working Space BRIN Sukolilo
POINT (112.799283 -7.2802169),Hydrodynamics Laboratory Indonesia
POINT (112.7973836 -7.281126399999999),ITS Research Center
POINT (112.7967376 -7.280604),Departemen Sistem Informasi Fakultas Teknologi Elektro dan Informatika Cerdas Institut Teknologi Sepuluh Nopember
POINT (112.7984542 -7.282319999999999),Departemen Teknik Transportasi Laut
POINT (112.7975068 -7.281782100000003),Faculty of Marine Technology
POINT (112.7956476 -7.2816318),ITS Library
POINT (112.7946266 -7.2819303),Gazebo Lingkar Perpustakaan ITS
POINT (112.7951638 -7.2819324),Lapangan Perpustakaan ITS
POINT (112.7968489 -7.282158700000001),DMOM Laboratory ITS
POINT (112.7965342 -7.281763299999998),Departemen Teknik Sistem Perkapalan
POINT (112.7930539 -7.2824038),Masjid Manarul Ilmi ITS
POINT (112.7931279 -7.2832844),Bundaran Teknik Mesin
POINT (112.7935407 -7.283349500000001),SCC ITS
POINT (112.7945491 -7.2823669),Plaza dr. Angka
POINT (112.7953945 -7.2824312),Departemen Studi Pembangunan ITS
POINT (112.7965385 -7.282517799999999),Departemen Teknik Perkapalan
POINT (112.7969955 -7.282396099999999),Aula BG Munaf FTK ITS
POINT (112.7974516 -7.2827011),Parkir Motor Teknik Kimia
POINT (112.7957558 -7.283077599999999),HMTF ITS
POINT (112.795727 -7.283661200000002),Departemen Teknik Fisika FTI
POINT (112.7950423 -7.283368199999999),Teater A
POINT (112.793632 -7.283801),ITS BNI
POINT (112.792739 -7.2837168),Lapangan Tenis ITS
POINT (112.7922478 -7.283834499999998),Kantor UPT Fasilitas Olahraga ITS (baru)
POINT (112.7919253 -7.283892699999999),GOR Futsal Pertamina ITS
POINT (112.7930384 -7.284312300000001),Bank Mandiri ITS
POINT (112.7930756 -7.284568800000001),Bank Syariah Indonesia (BSI)
POINT (112.793966 -7.2839078),Kantin Pusat ITS
POINT (112.7962451 -7.2829298),Department of Chemical Engineering FTI-ITS
POINT (112.7949661 -7.283875999999999),Departemen Kimia Fakultas Sains ITS
POINT (112.7971046 -7.284156100000001),Faculty of Industrial Technology
POINT (112.7974281 -7.283869699999999),Departemen Teknik Sistem dan Industri
POINT (112.7981115 -7.284768899999999),Kantor Tabungan Sampah Terpadu (TaSTe) ITS
POINT (112.7963419 -7.284394499999999),Departemen Teknik Mesin FTI ITS
POINT (112.7964306 -7.284872199999999),Computer Engineering Department ITS
POINT (112.794756 -7.284490000000002),Faculty of Sciences
POINT (112.7943417 -7.2844439),Departemen Fisika Fakultas Sains ITS
POINT (112.793897 -7.2849915),Menara Sains (Tower 1) ITS
POINT (112.7931996 -7.285157799999999),Lapangan Basket Flexy
